"word","freq"
"trump",4740
"says",2980
"house",1437
"north",924
"new",875
"russia",818
"white",815
"korea",814
"senate",739
"will",714
"court",710
"bill",682
"trumps",676
"republican",631
"china",624
"state",624
"tax",612
"clinton",608
"obama",581
"deal",550
"vote",542
"talks",523
"may",508
"election",500
"iran",467
"president",463
"minister",445
"south",442
"calls",426
"factbox",419
"police",416
"government",406
"brexit",402
"chief",389
"probe",378
"syria",373
"leader",371
"congress",367
"plan",354
"sanctions",347
"russian",346
"republicans",342
"official",339
"party",332
"security",327
"military",318
"top",316
"nuclear",314
"ban",306
"campaign",290
"lawmakers",286
"democrats",283
"urges",283
"saudi",280
"trade",276
"turkey",276
"law",273
"foreign",272
"senator",269
"attack",268
"presidential",267
"opposition",266
"former",265
"healthcare",263
"governor",262
"islamic",255
"sources",255
"german",254
"meet",249
"myanmar",246
"border",244
"budget",244
"say",243
"putin",238
"supreme",237
"visit",235
"panel",233
"crisis",232
"tillerson",232
"first",229
"rights",229
"syrian",227
"travel",224
"media",223
"mexico",222
"two",219
"fight",213
"exclusive",212
"leaders",212
"defense",211
"meeting",211
"aid",210
"poll",210
"officials",209
"seeks",209
"war",204
"administration",203
"wants",202
"jerusalem",199
"obamacare",196
"killed",195
"policy",195
"coalition",193
"back",192
"ahead",190
"tells",190
"next",186
"rohingya",185
"iraq",184
"ties",184
"puerto",183
"britain",182
"catalan",180
"judge",180
"states",180
"reform",178
"support",178
"warns",177
"move",176
"report",175
"secretary",175
"amid",172
"democratic",172
"end",172
"air",171
"climate",171
"fbi",171
"japan",171
"merkel",171
"seek",171
"bid",170
"immigration",170
"rico",170
"korean",167
"department",165
"general",165
"rules",165
"political",164
"speaker",163
"must",162
"case",161
"million",161
"senators",161
"attacks",160
"call",160
"discuss",160
"parliament",159
"ryan",159
"army",157
"debate",155
"missile",155
"turkish",155
"peace",154
"ruling",154
"twitter",154
"germany",153
"pick",153
"race",153
"independence",151
"nominee",151
"source",151
"plans",150
"chinas",149
"iraqi",148
"group",145
"help",145
"decision",144
"rule",143
"kremlin",142
"macron",141
"week",141
"forces",140
"france",140
"order",140
"push",140
"agency",137
"despite",137
"kurdish",136
"can",135
"key",134
"take",134
"british",130
"adviser",129
"near",128
"sees",128
"backs",127
"democrat",127
"israel",127
"presidency",127
"sanders",126
"win",126
"cuba",125
"head",125
"erdogan",124
"funding",124
"threat",124
"attorney",123
"work",123
"lead",122
"national",122
"still",122
"washington",120
"aide",119
"envoy",119
"kills",119
"lawmaker",119
"news",119
"french",118
"hopes",118
"justice",118
"cut",117
"refugees",117
"speech",116
"billion",115
"debt",115
"spokesman",115
"three",115
"health",114
"orders",114
"change",113
"likely",113
"open",113
"oil",112
"ready",112
"make",111
"approves",110
"one",110
"power",110
"russias",110
"fire",109
"vows",109
"wall",109
"york",109
"asks",108
"california",108
"catalonia",108
"legal",108
"rejects",108
"wins",108
"pence",107
"test",107
"dead",106
"hurricane",106
"philippines",106
"candidate",105
"pressure",105
"set",105
"arrest",104
"force",104
"irma",104
"review",104
"venezuela",104
"want",104
"year",104
"action",103
"death",103
"years",103
"charges",102
"city",102
"lawyer",102
"possible",102
"protest",102
"ukraine",102
"bomb",100
"four",100
"intelligence",100
"agree",99
"business",99
"pentagon",99
"summit",99
"hold",98
"kill",98
"office",98
